Trajectories
100
,,mechanicle_knee:thigh1,,,mechanicle_knee:thigh2,,,mechanicle_knee:thigh3,,,mechanicle_knee:thigh4,,,mechanicle_knee:thigh5,,,mechanicle_knee:shank1,,,mechanicle_knee:shank2,,,mechanicle_knee:shank3,,,mechanicle_knee:shank4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,83.1173,99.9082,130.512,24.9676,61.5208,129.905,98.6165,26.5813,128.87,59.6694,9.29829,129.048,11.87,179.118,143.578,-27.9502,298.576,146.661,-83.5414,267.802,146.314,0.343734,258.342,145.911,-43.0016,210.66,145.056
2,0,83.0851,99.9635,130.451,24.9826,61.527,129.906,98.6206,26.589,128.873,59.6713,9.30232,129.045,11.8769,179.123,143.577,-27.9292,298.578,146.651,-83.54,267.804,146.303,0.35231,258.338,145.912,-42.9955,210.665,145.064
3,0,83.1194,99.9217,130.53,24.9824,61.5371,129.92,98.6127,26.6075,128.889,59.6844,9.30854,129.045,11.8743,179.141,143.592,-27.9387,298.588,146.666,-83.5324,267.812,146.317,0.29999,258.409,145.885,-42.9859,210.677,145.069
4,0,83.1261,99.9394,130.538,24.9781,61.5531,129.945,98.6039,26.6151,128.905,59.6714,9.3265,129.075,11.8648,179.145,143.604,-27.9439,298.604,146.683,-83.5515,267.851,146.35,0.331297,258.368,145.928,-43.0012,210.695,145.089
5,0,83.1123,100.016,130.455,24.9685,61.5554,129.946,98.605,26.6288,128.907,59.6691,9.32892,129.063,11.8498,179.156,143.62,-27.9547,298.616,146.695,-83.5577,267.848,146.351,0.276636,258.408,145.891,-42.9956,210.699,145.079
6,0,83.1406,99.9778,130.484,24.9952,61.5479,129.93,98.6236,26.6049,128.878,59.6943,9.31441,129.05,11.8633,179.158,143.584,-27.9329,298.6,146.655,-83.5506,267.837,146.325,0.344623,258.361,145.896,-42.9893,210.69,145.066
7,0,83.1625,99.9831,130.45,25.0104,61.5435,129.902,98.6487,26.5991,128.846,59.7191,9.30822,129.032,11.9223,179.142,143.546,-27.9053,298.591,146.616,-83.5216,267.822,146.285,0.334955,258.393,145.854,-42.9591,210.679,145.041
8,0,83.1487,100.036,130.361,25.0149,61.5301,129.896,98.6463,26.5886,128.843,59.7257,9.30389,129.011,11.9095,179.14,143.529,-27.9055,298.582,146.601,-83.5136,267.808,146.271,0.380261,258.336,145.84,-42.9562,210.672,145.031
9,0,83.1655,100.02,130.427,25.0093,61.5398,129.924,98.6404,26.598,128.891,59.7158,9.30656,129.054,11.8777,179.142,143.583,-27.9097,298.596,146.659,-83.5311,267.82,146.31,0.340376,258.391,145.878,-42.9686,210.671,145.074
10,0,83.1568,100.039,130.437,24.998,61.5476,129.955,98.6356,26.6167,128.903,59.6918,9.31789,129.069,11.8622,179.155,143.601,-27.91,298.612,146.677,-83.5314,267.845,146.338,0.327608,258.413,145.907,-42.9722,210.692,145.095
11,0,83.1275,100.089,130.379,24.9887,61.5579,129.956,98.6117,26.6132,128.9,59.6691,9.3243,129.077,11.8662,179.17,143.598,-27.9253,298.636,146.667,-83.5364,267.855,146.324,0.323606,258.424,145.896,-42.9816,210.71,145.081
12,0,83.1353,100.086,130.387,24.9876,61.5615,129.939,98.6092,26.6235,128.882,59.677,9.33398,129.066,11.8809,179.185,143.569,-27.9091,298.642,146.609,-83.5303,267.871,146.279,0.339663,258.415,145.831,-42.9757,210.72,145.051
13,0,83.0983,100.074,130.373,24.9823,61.5727,129.92,98.6066,26.6178,128.865,59.66,9.3371,129.049,11.8721,179.201,143.546,-27.9114,298.646,146.567,-83.5247,267.877,146.251,0.377927,258.404,145.833,-42.9766,210.727,145.025
14,0,83.1314,100.129,130.363,24.9821,61.5773,129.935,98.6111,26.6284,128.888,59.6692,9.35216,129.069,11.8624,179.214,143.548,-27.8976,298.651,146.571,-83.5293,267.894,146.253,0.368856,258.394,145.824,-42.9822,210.741,145.026
15,0,83.0925,100.049,130.425,24.9772,61.5759,129.965,98.6035,26.6382,128.922,59.6574,9.3418,129.094,11.8432,179.214,143.559,-27.9154,298.659,146.604,-83.5401,267.894,146.288,0.372586,258.428,145.874,-42.9903,210.742,145.057
16,0,83.1394,100.119,130.407,24.9655,61.5652,129.993,98.5713,26.6252,128.962,59.6405,9.3349,129.112,11.8394,179.194,143.586,-27.9293,298.653,146.648,-83.549,267.88,146.322,0.327852,258.44,145.903,-42.9996,210.733,145.082
17,0,83.1173,100.104,130.389,24.9659,61.5479,129.969,98.5939,26.6101,128.914,59.6328,9.32816,129.097,11.8398,179.188,143.582,-27.9331,298.63,146.643,-83.5587,267.863,146.312,0.31386,258.414,145.888,-43.0025,210.711,145.075
18,0,83.1037,100.069,130.37,24.9553,61.5284,129.935,98.578,26.5806,128.889,59.6333,9.30187,129.054,11.8578,179.163,143.556,-27.9376,298.61,146.617,-83.5559,267.842,146.282,0.347083,258.345,145.85,-43.0044,210.698,145.048
